country,transaction_id,source,product_type,amount,transaction_date,customer_id,payment_method,shipping_address,discount_code,tax_amount,shipping_cost
Kuwait,114,online,electronics,6786.21,6/8/2021,85,debit card,81164 Namekagon Drive,WELCOME15,324.54,27.01
Guatemala,115,mobile app,electronics,9504.29,7/11/2021,139,cash,601 Sutteridge Alley,WELCOME15,311.29,36.54
,116,online,clothing,5527.66,3/20/2021,39,credit card,7584 Golf Alley,SUMMER20,398.75,18.75
Vietnam,117,in-store,groceries,3054.56,9/23/2021,10,mobile payment,8 Declaration Center,WELCOME15,273.62,31.67
,118,in-store,electronics,3053.43,3/26/2021,96,cash,111 Transport Parkway,WELCOME15,8.69,18.16
Philippines,119,online,groceries,864.15,7/23/2021,144,mobile payment,5909 Holy Cross Pass,WELCOME15,305.96,1.52
China,120,in-store,groceries,326.57,8/25/2021,24,cash,72 Colorado Point,SALE10,331.72,7.8
Macedonia,121,online,groceries,3006.26,5/5/2021,34,credit card,28 Magdeline Street,SALE10,31.01,36.96
,122,in-store,electronics,5409.55,1/12/2021,82,mobile payment,7664 Monterey Court,WELCOME15,146.53,18.67
,123,online,furniture,7015.48,7/22/2021,149,debit card,8 8th Road,WELCOME15,440.87,4.07
China,124,in-store,electronics,5901.27,11/1/2021,75,credit card,163 South Crossing,WELCOME15,242.1,18.08
Indonesia,125,in-store,clothing,475.07,11/18/2021,117,debit card,6 Autumn Leaf Terrace,WELCOME15,7.92,19.44
Indonesia,126,mobile app,electronics,4860.92,11/20/2021,112,cash,3503 Old Shore Junction,WELCOME15,95.69,44.86
China,127,online,electronics,5238.82,1/6/2021,131,cash,18309 Mayer Pass,SALE10,138.41,20.52
,128,in-store,clothing,8773.53,2/4/2021,28,credit card,37139 Mitchell Junction,SUMMER20,395.22,36.62
Indonesia,129,mobile app,groceries,8665.07,3/9/2021,142,debit card,54 Miller Circle,WELCOME15,254.54,15.12
,130,online,furniture,9736.8,4/6/2021,70,cash,32 Saint Paul Street,SALE10,285.99,13.51
Indonesia,131,mobile app,furniture,6727.47,5/15/2021,135,credit card,9 Barnett Court,SUMMER20,156.7,7.12
China,132,online,electronics,5628.17,1/27/2021,63,cash,12456 Mitchell Pass,SALE10,482.69,49.33
,133,in-store,furniture,1551.9,10/15/2021,7,mobile payment,5 Nancy Avenue,SUMMER20,75.16,8.99
Hungary,134,online,furniture,2673.34,11/2/2021,64,cash,9 Loeprich Point,SUMMER20,211.12,48.19
Indonesia,135,mobile app,clothing,1683.5,11/1/2021,68,mobile payment,955 Judy Avenue,SALE10,246.98,30.2
Indonesia,136,mobile app,furniture,6434.24,12/20/2021,1,debit card,0 Center Circle,SUMMER20,330.06,49.62
,137,mobile app,electronics,960.25,5/9/2021,145,debit card,02449 Artisan Point,SALE10,22.24,21.39
China,138,online,clothing,7751.5,10/1/2021,2,mobile payment,32190 Mariners Cove Way,SALE10,379.13,34.41
,139,in-store,electronics,5970.37,9/24/2021,10,credit card,692 Fieldstone Park,WELCOME15,91.82,10.06
Indonesia,140,in-store,furniture,763.73,12/4/2021,34,debit card,95 American Junction,WELCOME15,301.19,8.59
Peru,141,online,groceries,7883.49,6/18/2021,139,cash,68 Arrowood Center,SUMMER20,196.69,32.09
,142,online,groceries,190.56,11/22/2021,120,credit card,6 Sunbrook Terrace,SUMMER20,14.45,42.78
Germany,143,online,electronics,4311.01,4/24/2021,52,credit card,510 Fair Oaks Terrace,SALE10,298.92,46.42
China,144,mobile app,clothing,7057.38,7/25/2021,80,cash,58486 Cascade Trail,WELCOME15,427.23,17.59
Indonesia,145,in-store,furniture,4636.62,4/22/2021,64,debit card,99 Sundown Alley,SUMMER20,30.88,24.4
Philippines,146,online,furniture,5332.12,1/4/2021,52,mobile payment,48851 Lunder Crossing,WELCOME15,360.74,0.31
Zambia,147,in-store,groceries,304.58,8/26/2021,145,debit card,42 Mandrake Street,WELCOME15,438.37,16.87
,148,in-store,furniture,9273.28,8/22/2021,54,cash,30869 Petterle Point,SALE10,407.57,3.23
Portugal,149,online,furniture,800.66,4/24/2021,42,debit card,6596 Buhler Park,SALE10,496.85,39.91
,150,online,groceries,7159.89,11/17/2021,85,debit card,432 Burrows Point,SALE10,80.05,45.09
Colombia,151,mobile app,furniture,1801.79,10/13/2021,125,mobile payment,9472 Scofield Point,SUMMER20,29.71,5.31
Jordan,152,in-store,groceries,8601.93,9/26/2021,90,cash,13 Express Terrace,WELCOME15,124.4,24.21
China,153,mobile app,furniture,1377.89,4/17/2021,139,debit card,631 Surrey Hill,WELCOME15,201.6,4.51
,154,mobile app,groceries,465.39,4/19/2021,43,debit card,02302 Autumn Leaf Road,SUMMER20,30.35,21.54
,155,online,electronics,7136.68,8/2/2021,66,debit card,7 Claremont Park,SALE10,212.88,7.54
Canada,156,in-store,clothing,1943.69,1/17/2021,89,debit card,34 Schurz Avenue,WELCOME15,380.3,32.54
China,157,online,clothing,9612.95,11/22/2021,2,cash,8 Wayridge Hill,SUMMER20,433.31,19.87
China,158,in-store,furniture,4732.21,6/7/2021,55,credit card,5 Rigney Trail,SUMMER20,302.89,3.44
Indonesia,159,mobile app,clothing,8685.56,7/12/2021,128,debit card,34966 Mayfield Parkway,SUMMER20,279.73,20.74
Indonesia,160,mobile app,groceries,3031.48,7/10/2021,143,credit card,239 David Road,WELCOME15,110.7,28.97
,161,in-store,furniture,7105.17,6/3/2021,125,mobile payment,163 7th Junction,SUMMER20,447.62,12.7
,162,mobile app,clothing,4119.67,6/6/2021,73,debit card,10 Express Street,SUMMER20,8.74,46.81
Micronesia,163,online,furniture,4302.83,11/21/2021,120,mobile payment,444 Starling Street,SALE10,462.25,49.82
Bahamas,164,online,groceries,9048.63,2/18/2021,147,mobile payment,7 Schmedeman Road,WELCOME15,494.28,27.18
Indonesia,165,online,clothing,5591.99,12/22/2021,28,cash,92714 Autumn Leaf Road,SUMMER20,35.53,19.45
Portugal,166,mobile app,groceries,6449.19,4/29/2021,129,mobile payment,4 Oak Parkway,SUMMER20,291.8,44.04
Mongolia,167,in-store,groceries,8015.9,8/30/2021,116,credit card,91 Derek Place,SUMMER20,338.12,4.68
,168,in-store,groceries,6270.45,8/18/2021,117,cash,956 Merry Pass,SUMMER20,178.15,22.9
United States,169,online,clothing,8848.63,10/7/2021,150,cash,60188 Haas Pass,SUMMER20,96.5,42.77
Indonesia,170,online,groceries,5177.22,8/17/2021,119,credit card,98 Monterey Point,SUMMER20,64.29,39.41
Russia,171,mobile app,electronics,1044.24,4/20/2021,14,mobile payment,232 Elka Point,SUMMER20,487.44,13.74
,172,online,clothing,7195.32,2/13/2021,49,cash,9 Browning Terrace,SALE10,59.03,20.56
,173,in-store,electronics,6114.99,7/2/2021,44,mobile payment,1 Amoth Hill,WELCOME15,150.59,2.66
France,174,online,furniture,4190.12,8/17/2021,131,credit card,068 Old Shore Way,SALE10,206.48,24.72
Russia,175,online,clothing,1608.62,4/22/2021,64,credit card,66417 Waywood Way,SALE10,470.31,22.69
Bolivia,176,in-store,clothing,2313.56,7/24/2021,109,credit card,58999 Moland Circle,WELCOME15,140.78,33.87
Brazil,177,online,clothing,3729.91,4/14/2021,11,cash,5 Troy Street,SUMMER20,484.61,39.65
,178,online,groceries,3360.21,11/23/2021,84,cash,80730 Lakewood Gardens Circle,SUMMER20,96.77,16.32
,179,online,clothing,1070.69,12/22/2021,108,credit card,9 Rusk Avenue,WELCOME15,194.86,41.48
,180,mobile app,furniture,7053.5,4/12/2021,79,mobile payment,19062 Prairieview Pass,SUMMER20,254.19,4.31
,181,mobile app,furniture,8888.05,12/23/2021,116,mobile payment,9 Columbus Point,SALE10,192.04,9.62
,182,in-store,groceries,6311.55,1/13/2021,74,debit card,29794 Bay Road,SUMMER20,211.66,34.74
Philippines,183,mobile app,groceries,271.23,6/21/2021,60,credit card,786 Jenifer Junction,WELCOME15,465.33,4.17
,184,mobile app,clothing,8792.64,4/16/2021,55,debit card,392 Daystar Point,WELCOME15,416.12,43.94
,185,online,furniture,7270.83,1/14/2021,72,cash,5 Pennsylvania Center,SALE10,142.73,40.71
Indonesia,186,in-store,clothing,3110.4,6/3/2021,83,debit card,1918 Katie Pass,SALE10,261.71,39.35
Russia,187,mobile app,clothing,6813.79,7/17/2021,26,mobile payment,09 Mallard Way,SUMMER20,361.91,14.1
Brazil,188,online,groceries,9379.19,4/16/2021,31,cash,142 Lawn Road,SUMMER20,452.97,42.57
China,189,mobile app,furniture,2339.83,5/7/2021,62,credit card,921 Springview Hill,WELCOME15,24.17,30.15
Peru,190,in-store,clothing,5404.41,1/17/2021,66,cash,8953 Menomonie Place,SUMMER20,421.01,17.0
,191,mobile app,clothing,153.79,9/24/2021,146,debit card,490 Division Way,SALE10,42.01,21.44
China,192,in-store,electronics,3173.44,6/3/2021,54,cash,64 Gale Junction,SUMMER20,45.28,9.47
,193,online,groceries,3821.83,4/23/2021,46,credit card,9284 Porter Hill,SALE10,432.79,23.73
Greece,194,in-store,furniture,5466.0,8/8/2021,88,mobile payment,632 Loeprich Court,SALE10,322.41,26.84
,195,mobile app,clothing,7762.32,4/22/2021,77,mobile payment,143 Ryan Center,SALE10,327.82,32.11
Bolivia,196,online,clothing,2455.96,12/1/2021,130,mobile payment,7 1st Way,SALE10,254.31,25.29
China,197,in-store,clothing,5653.09,8/27/2021,40,mobile payment,0 Derek Alley,SUMMER20,160.91,3.44
Russia,198,online,groceries,3885.0,6/8/2021,46,mobile payment,37459 Texas Hill,SUMMER20,248.89,47.53
China,199,in-store,electronics,1943.25,7/28/2021,85,mobile payment,7766 Graceland Place,SALE10,477.72,23.7
Peru,200,online,furniture,9976.28,10/18/2021,141,debit card,4 Summer Ridge Way,SUMMER20,131.36,32.76
Bosnia and Herzegovina,201,online,groceries,6038.38,12/3/2021,54,mobile payment,81 Magdeline Circle,WELCOME15,457.92,33.55
China,202,online,furniture,7568.39,2/6/2021,118,mobile payment,41 Thompson Street,WELCOME15,77.26,9.26
,203,online,groceries,1708.56,2/6/2021,122,mobile payment,05554 Red Cloud Lane,SUMMER20,82.82,47.43
China,204,in-store,furniture,4245.97,9/13/2021,40,mobile payment,3454 Independence Terrace,SUMMER20,16.85,16.72
,205,mobile app,furniture,7038.65,1/5/2021,88,credit card,950 Hovde Alley,WELCOME15,454.66,15.98
,206,mobile app,groceries,3384.59,10/27/2021,41,debit card,85 Redwing Alley,WELCOME15,133.14,6.95
Portugal,207,mobile app,electronics,977.02,10/12/2021,73,credit card,54 Boyd Avenue,SALE10,87.74,39.4
South Korea,208,mobile app,groceries,1928.75,7/15/2021,127,cash,317 7th Alley,SUMMER20,229.93,0.54
,209,in-store,groceries,7026.67,8/31/2021,61,mobile payment,4 Ohio Circle,SUMMER20,363.8,29.75
France,210,in-store,furniture,3233.42,3/15/2021,15,cash,578 Warrior Parkway,SALE10,55.23,16.58
Philippines,211,mobile app,electronics,5884.33,9/3/2021,124,cash,42297 Spohn Drive,WELCOME15,392.07,5.12
,212,mobile app,furniture,4272.15,6/30/2021,95,cash,890 7th Terrace,SUMMER20,278.09,4.89
Kenya,213,in-store,furniture,6081.99,3/10/2021,24,mobile payment,31929 Jenifer Crossing,SUMMER20,294.2,14.02
Indonesia,214,online,electronics,6773.5,4/22/2021,78,cash,75415 Holmberg Parkway,SUMMER20,430.83,16.49
China,215,online,clothing,2194.48,3/31/2021,61,cash,2524 Springs Alley,WELCOME15,264.34,11.21
,216,mobile app,clothing,745.75,10/6/2021,142,mobile payment,9 Center Road,SUMMER20,249.0,43.26
,217,in-store,clothing,2921.39,4/18/2021,148,debit card,84 Badeau Avenue,SUMMER20,159.3,49.52
Brazil,218,mobile app,electronics,5747.29,3/20/2021,146,mobile payment,8040 Clove Park,SUMMER20,451.86,27.13
Sweden,219,in-store,groceries,6346.24,11/27/2021,143,mobile payment,5 Randy Plaza,WELCOME15,300.31,0.74
Spain,220,online,furniture,4732.03,6/16/2021,67,mobile payment,754 Roth Street,WELCOME15,141.46,2.4
China,221,in-store,electronics,8682.35,8/6/2021,150,credit card,87 Waywood Parkway,SUMMER20,259.35,46.32
Mauritius,222,mobile app,clothing,5620.06,5/23/2021,69,cash,931 Brentwood Plaza,SALE10,114.04,28.86
,223,online,electronics,6293.95,3/31/2021,144,cash,98 Alpine Terrace,SUMMER20,29.57,40.04
Indonesia,224,in-store,furniture,9735.59,8/18/2021,7,debit card,3960 Village Green Alley,WELCOME15,115.54,18.56
Indonesia,225,mobile app,groceries,4254.3,11/7/2021,128,credit card,9 Bayside Crossing,WELCOME15,264.63,29.52
France,226,online,furniture,7523.84,11/22/2021,76,credit card,46 Lyons Point,SUMMER20,348.66,40.81
Indonesia,227,online,electronics,9460.58,1/10/2021,142,credit card,59964 Maple Avenue,SUMMER20,291.55,37.54
China,228,online,furniture,6757.35,3/24/2021,88,credit card,6785 Vera Lane,SUMMER20,472.53,5.97
Russia,229,in-store,groceries,4538.56,8/19/2021,42,cash,7712 Ridge Oak Parkway,SALE10,300.65,43.03
,230,in-store,groceries,3456.88,4/30/2021,83,cash,21 Surrey Plaza,SALE10,281.0,5.85
Indonesia,231,online,groceries,2332.51,1/26/2021,35,credit card,14075 Rigney Park,SUMMER20,27.99,10.79
,232,mobile app,furniture,6170.06,11/20/2021,92,mobile payment,9 Mayfield Park,SUMMER20,425.2,24.03
,233,online,clothing,187.56,8/27/2021,74,mobile payment,5 Arkansas Drive,SUMMER20,108.58,44.26
Poland,234,in-store,groceries,7881.56,1/12/2021,28,credit card,56144 Melby Crossing,SUMMER20,233.3,34.55
,235,in-store,groceries,4358.04,1/23/2021,7,cash,662 Anderson Drive,SUMMER20,92.22,38.93
Colombia,236,online,electronics,7152.9,5/2/2021,113,debit card,584 Macpherson Lane,SUMMER20,444.43,49.89
China,237,in-store,clothing,7125.01,8/17/2021,13,debit card,076 Fieldstone Place,SALE10,228.97,3.77
,238,mobile app,furniture,5187.51,6/7/2021,133,mobile payment,54129 Anderson Circle,SALE10,314.2,33.23
Russia,239,mobile app,clothing,5441.5,7/19/2021,111,debit card,30550 Delladonna Point,SUMMER20,335.48,18.31
Brazil,240,online,electronics,6782.13,9/3/2021,147,debit card,16913 Ruskin Way,WELCOME15,355.87,28.92
Japan,241,online,clothing,5849.08,5/9/2021,44,mobile payment,69612 Ridgeview Parkway,WELCOME15,261.34,32.92
,242,online,clothing,5872.67,7/16/2021,99,cash,2411 Raven Hill,SALE10,387.88,21.15
Tunisia,243,in-store,electronics,6288.6,5/31/2021,5,debit card,64978 West Drive,WELCOME15,216.23,3.21
Indonesia,244,online,groceries,7189.17,3/5/2021,131,mobile payment,94254 Corscot Road,SUMMER20,485.08,45.84
Indonesia,245,mobile app,electronics,5768.99,12/28/2021,78,cash,496 Morning Drive,WELCOME15,473.36,8.08
Peru,246,online,furniture,7819.43,8/20/2021,150,debit card,07 Moose Way,WELCOME15,366.45,40.11
Nigeria,247,online,groceries,919.79,7/3/2021,123,cash,55 Kim Junction,SUMMER20,445.58,26.23
